t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
    0    ;     1   ;    E   ;     80     ;    ?   ;  estacionamento
   80    ;     1   ;    E   ;     80     ;   90   ;  saída
   10    ;     2   ;    E   ;     30     ;    ?   ;  estacionamento
   40    ;     2   ;    E   ;     30     ;   40   ;  saída
   20    ;     3   ;    E   ;     10     ;    ?   ;  estacionamento
   30    ;     3   ;    E   ;     10     ;   20   ;  saída
   30    ;     4   ;    E   ;     50     ;    ?   ;  estacionamento
   80    ;     4   ;    E   ;     50     ;   60   ;  saída
   40    ;     5   ;    E   ;     50     ;    ?   ;  estacionamento
   90    ;     5   ;    E   ;     50     ;   70   ;  saída
   60    ;     6   ;    E   ;     10     ;    ?   ;  estacionamento
   70    ;     6   ;    E   ;     10     ;   20   ;  saída
   70    ;     7   ;    N   ;     20     ;    ?   ;  estacionamento
   90    ;     7   ;    N   ;     20     ;   30   ;  saída
   80    ;     8   ;    N   ;     50     ;    ?   ;  estacionamento
  130    ;     8   ;    N   ;     50     ;   70   ;  saída
  100    ;     9   ;    S   ;     50     ;    ?   ;  estacionamento
  150    ;     9   ;    S   ;     50     ;   70   ;  saída
  120    ;    10   ;    E   ;     20     ;    ?   ;  estacionamento
  140    ;    10   ;    E   ;     20     ;   40   ;  saída
  140    ;    11   ;    S   ;     40     ;    ?   ;  estacionamento
  180    ;    11   ;    S   ;     40     ;   50   ;  saída
  150    ;    12   ;    S   ;     20     ;    ?   ;  estacionamento
  150    ;    13   ;    O   ;    100     ;    ?   ;  estacionamento
  170    ;    12   ;    S   ;     20     ;   30   ;  saída
  150    ;    14   ;    O   ;     10     ;    ?   ;  estacionamento
  160    ;    14   ;    O   ;     10     ;   20   ;  saída
  250    ;    13   ;    O   ;    100     ;  110   ;  saída
  160    ;    15   ;    S   ;     10     ;    ?   ;  estacionamento
  170    ;    15   ;    S   ;     10     ;   30   ;  saída
  160    ;    16   ;    S   ;    100     ;    ?   ;  estacionamento
  160    ;    17   ;    S   ;     80     ;    ?   ;  estacionamento
  240    ;    17   ;    S   ;     80     ;  100   ;  saída
  260    ;    16   ;    S   ;    100     ;  120   ;  saída
  180    ;    18   ;    S   ;     60     ;    ?   ;  estacionamento
  180    ;    19   ;    E   ;    100     ;    ?   ;  estacionamento
  240    ;    18   ;    S   ;     60     ;   80   ;  saída
  280    ;    19   ;    E   ;    100     ;  120   ;  saída
  200    ;    20   ;    O   ;     20     ;    ?   ;  estacionamento
  200    ;    21   ;    N   ;     40     ;    ?   ;  estacionamento
  220    ;    20   ;    O   ;     20     ;   30   ;  saída
  240    ;    21   ;    N   ;     40     ;   50   ;  saída
  210    ;    22   ;    O   ;     30     ;    ?   ;  estacionamento
  240    ;    22   ;    O   ;     30     ;   50   ;  saída
  230    ;    23   ;    N   ;    100     ;    ?   ;  estacionamento
  230    ;    24   ;    O   ;     60     ;    ?   ;  estacionamento
  230    ;    25   ;    O   ;     10     ;    ?   ;  estacionamento
  240    ;    25   ;    O   ;     10     ;   10   ;  saída
  230    ;    26   ;    O   ;     40     ;    ?   ;  estacionamento
