t(ticks) ; nlug   ; id_viat ; observ
    0    ;   19   ;    1    ; entrada
   10    ;   19   ;    2    ; entrada
   20    ;   19   ;    3    ; entrada
   30    ;   19   ;    4    ; entrada
   40    ;   19   ;    5    ; entrada
   60    ;   19   ;    6    ; entrada
   70    ;   19   ;    7    ; entrada
   80    ;   19   ;    8    ; entrada
  100    ;   19   ;    9    ; entrada
  120    ;   19   ;   10    ; entrada
  140    ;   19   ;   11    ; entrada
  150    ;   19   ;   12    ; entrada
  150    ;   18   ;   13    ; entrada
  150    ;   18   ;   14    ; entrada
  160    ;   19   ;   15    ; entrada
  160    ;   19   ;   16    ; entrada
  160    ;   18   ;   17    ; entrada
  180    ;   19   ;   18    ; entrada
  180    ;   18   ;   19    ; entrada
  200    ;   19   ;   20    ; entrada
  200    ;   18   ;   21    ; entrada
  210    ;   19   ;   22    ; entrada
  230    ;   19   ;   23    ; entrada
  230    ;   18   ;   24    ; entrada
  230    ;   17   ;   25    ; entrada
  230    ;   17   ;   26    ; entrada
  230    ;   16   ;   27    ; entrada
  230    ;   15   ;   28    ; entrada
  250    ;   19   ;   29    ; entrada
  260    ;   19   ;   30    ; entrada
  260    ;   18   ;   31    ; entrada
  260    ;   17   ;   32    ; entrada
  270    ;   19   ;   33    ; entrada
  290    ;   19   ;   34    ; entrada
  300    ;   19   ;   35    ; entrada
  310    ;   19   ;   36    ; entrada
  310    ;   19   ;   37    ; entrada
  320    ;   19   ;   38    ; entrada
  330    ;   19   ;   39    ; entrada
  330    ;   18   ;   40    ; entrada
  130    ;   16   ;   41    ; entrada
  300    ;   18   ;   42    ; entrada
  310    ;   19   ;   43    ; entrada
  310    ;   18   ;   44    ; entrada
  310    ;   17   ;   45    ; entrada
  310    ;   16   ;   46    ; entrada
  310    ;   16   ;   47    ; entrada
  310    ;   16   ;   48    ; entrada
  310    ;   15   ;   49    ; entrada
  310    ;   14   ;   50    ; entrada
  310    ;   14   ;   51    ; entrada
  280    ;   18   ;   52    ; entrada
  290    ;   19   ;   53    ; entrada
  300    ;   19   ;   54    ; entrada
  320    ;   19   ;   55    ; entrada
  320    ;   18   ;   56    ; entrada
  320    ;   18   ;   57    ; entrada
; cheio!
  210    ;   19   ;   30    ; entrada
  210    ;   20   ;   30    ; cheio!
  230    ;   19   ;   31    ; entrada
  230    ;   18   ;   32    ; entrada
  230    ;   19   ;   32    ; cheio!
  230    ;   20   ;   31    ; cheio!
  240    ;   19   ;   33    ; entrada
  240    ;   20   ;   33    ; cheio!
  250    ;   19   ;   34    ; entrada
  250    ;   18   ;   35    ; entrada
  250    ;   19   ;   35    ; cheio!
  250    ;   20   ;   34    ; cheio!
  260    ;   19   ;   36    ; entrada
  260    ;   18   ;   37    ; entrada
  260    ;   17   ;   39    ; entrada
  260    ;   16   ;   39    ; entrada
  260    ;   17   ;   39    ; cheio!
  260    ;   18   ;   39    ; cheio!
  260    ;   19   ;   39    ; cheio!
  260    ;   20   ;   37    ; cheio!
  280    ;   19   ;   40    ; entrada
  280    ;   20   ;   40    ; cheio!
  290    ;   19   ;   41    ; entrada
  290    ;   20   ;   41    ; cheio!
  300    ;   19   ;   42    ; entrada
  300    ;   18   ;   43    ; entrada
  300    ;   19   ;   43    ; cheio!
  300    ;   20   ;   43    ; cheio!
  320    ;   19   ;   44    ; entrada
  320    ;   20   ;   44    ; cheio!
  330    ;   19   ;   45    ; entrada
  330    ;   19   ;   46    ; cheio!
    ;   19   ;   42    ; saída
  270    ;   20   ;   40    ; saída
  200    ;   19   ;   43    ; estacionamento
  200    ;   18   ;   44    ; estacionamento
  230    ;   19   ;   44    ; saída
  230    ;   20   ;   44    ; saída
  210    ;   19   ;   45    ; estacionamento
  260    ;   20   ;   45    ; saída
  230    ;   19   ;   46    ; estacionamento
  330    ;   20   ;   46    ; saída
  250    ;   19   ;   47    ; estacionamento
  250    ;   18   ;   48    ; estacionamento
  270    ;   19   ;   48    ; saída
  320    ;   20   ;   47    ; saída
  260    ;   19   ;   49    ; estacionamento
  320    ;   20   ;   49    ; saída
  270    ;   19   ;   50    ; estacionamento
  270    ;   18   ;   51    ; estacionamento
  340    ;   19   ;   51    ; saída
  340    ;   20   ;   51    ; saída
  290    ;   19   ;   52    ; estacionamento
  300    ;   20   ;   52    ; saída
  290    ;   19   ;   53    ; estacionamento
  360    ;   20   ;   53    ; saída
  310    ;   19   ;   54    ; estacionamento
  320    ;   20   ;   54    ; saída
  310    ;   19   ;   55    ; estacionamento
  400    ;   20   ;   55    ; saída
  320    ;   20   ;   56    ; encerrado
ento
  300    ;   18   ;   57    ; estacionamento
  300    ;   17   ;   58    ; estacionamento
  330    ;   18   ;   58    ; saída
  300    ;   17   ;   59    ; estacionamento
  300    ;   16   ;   60    ; estacionamento
  300    ;   15   ;   61    ; estacionamento
  360    ;   16   ;   60    ; saída
  370    ;   17   ;   56    ; saída
  340    ;   18   ;   59    ; saída
  360    ;   19   ;   60    ; saída
  390    ;   20   ;   61    ; saída
  310    ;   19   ;   62    ; estacionamento
